,Data,Otwarcie,Max,Min,Zamkniecie,Wolumen,year
0,2011-11-18 00:00:00,8.29,9.2,7.85,9.11,4819,2011
1,2011-11-21 00:00:00,9.11,9.6,8.9,9.29,585,2011
2,2011-11-22 00:00:00,9.29,9.85,8.99,9.85,1282,2011
3,2011-11-23 00:00:00,10.0,11.75,9.5,11.75,1441,2011
4,2011-11-24 00:00:00,12.15,12.8,11.75,12.5,1257,2011
5,2011-11-25 00:00:00,12.5,13.25,11.5,12.0,2568,2011
6,2011-11-28 00:00:00,11.5,12.75,11.15,12.15,2808,2011
7,2011-11-29 00:00:00,11.8,12.75,10.89,12.75,2123,2011
8,2011-11-30 00:00:00,12.4,12.75,10.73,12.0,6933,2011
9,2011-12-01 00:00:00,11.7,12.12,11.7,12.12,371,2011
10,2011-12-02 00:00:00,12.45,12.5,11.99,12.15,1273,2011
11,2011-12-05 00:00:00,12.47,12.47,11.5,12.45,32,2011
12,2011-12-06 00:00:00,11.5,12.15,11.5,12.15,34,2011
13,2011-12-07 00:00:00,11.8,12.35,11.8,12.35,31,2011
14,2011-12-12 00:00:00,11.5,12.15,11.5,12.15,133,2011
15,2011-12-15 00:00:00,11.5,12.5,10.8,12.5,4933,2011
16,2011-12-16 00:00:00,12.25,12.4,11.8,12.4,373,2011
17,2011-12-19 00:00:00,11.85,11.85,11.85,11.85,48,2011
18,2011-12-20 00:00:00,11.7,12.0,11.7,12.0,57,2011
19,2011-12-21 00:00:00,11.7,12.49,11.7,12.49,3223,2011
20,2011-12-22 00:00:00,12.3,12.49,11.75,12.4,2632,2011
21,2011-12-27 00:00:00,11.99,11.99,11.99,11.99,10,2011
22,2011-12-28 00:00:00,11.99,11.99,11.99,11.99,10,2011
23,2011-12-29 00:00:00,11.9,12.35,11.9,12.35,170,2011
24,2011-12-30 00:00:00,12.0,12.0,12.0,12.0,50,2011
25,2012-01-02 00:00:00,12.15,12.15,11.85,12.05,52,2012
26,2012-01-04 00:00:00,11.8,11.8,11.3,11.5,46,2012
27,2012-01-19 00:00:00,11.8,11.8,11.8,11.8,5,2012
28,2012-01-20 00:00:00,11.4,11.6,11.4,11.6,41,2012
29,2012-01-23 00:00:00,11.4,12.3,11.4,12.3,517,2012
30,2012-01-24 00:00:00,12.2,13.0,12.2,13.0,410,2012
31,2012-01-25 00:00:00,13.0,13.5,13.0,13.5,406,2012
32,2012-01-26 00:00:00,13.5,14.9,13.5,14.89,884,2012
33,2012-01-27 00:00:00,14.89,15.5,14.89,15.2,312,2012
34,2012-01-30 00:00:00,15.45,15.45,15.45,15.45,1,2012
35,2012-01-31 00:00:00,15.49,15.49,15.49,15.49,1,2012
36,2012-02-03 00:00:00,14.8,15.2,13.6,13.7,798,2012
37,2012-02-06 00:00:00,13.85,15.49,13.85,15.49,240,2012
38,2012-02-08 00:00:00,13.8,16.99,13.4,16.99,401,2012
39,2012-02-09 00:00:00,14.5,14.5,14.2,14.2,165,2012
40,2012-02-13 00:00:00,14.25,17.0,14.25,17.0,301,2012
41,2012-02-14 00:00:00,15.0,15.43,14.7,15.43,191,2012
42,2012-02-20 00:00:00,14.7,15.0,14.28,15.0,215,2012
43,2012-02-21 00:00:00,14.0,14.5,13.0,14.5,125,2012
44,2012-02-22 00:00:00,12.9,13.33,11.95,12.5,462,2012
45,2012-02-23 00:00:00,12.5,13.3,10.8,11.8,353,2012
46,2012-02-24 00:00:00,9.76,14.16,9.76,14.0,551,2012
47,2012-02-27 00:00:00,14.0,16.8,14.0,15.0,191,2012
48,2012-03-26 00:00:00,12.95,15.0,12.4,15.0,371,2012
49,2012-03-30 00:00:00,12.4,16.0,12.4,14.5,681,2012
50,2012-04-13 00:00:00,12.01,14.5,11.82,14.5,41043,2012
51,2012-04-16 00:00:00,13.5,14.0,13.35,14.0,201,2012
52,2012-04-17 00:00:00,13.0,13.5,11.25,13.0,761,2012
53,2012-04-20 00:00:00,13.5,15.6,13.5,15.6,61,2012
54,2012-05-08 00:00:00,13.09,18.0,13.09,17.1,397,2012
55,2012-06-04 00:00:00,13.8,15.0,13.65,15.0,196,2012
56,2012-07-03 00:00:00,13.1,13.1,12.46,12.78,132,2012
57,2012-07-04 00:00:00,12.3,12.54,10.9,11.71,296,2012
58,2012-07-06 00:00:00,10.22,10.98,10.22,10.98,155,2012
59,2012-07-12 00:00:00,10.0,10.3,9.87,10.3,182,2012
60,2012-07-13 00:00:00,9.0,10.3,8.5,10.3,352,2012
61,2012-07-30 00:00:00,8.81,9.0,8.5,9.0,353,2012
62,2012-07-31 00:00:00,8.05,8.65,7.25,8.0,1749,2012
63,2012-08-01 00:00:00,7.2,7.52,6.5,7.04,1006,2012
64,2012-08-02 00:00:00,6.68,8.44,5.65,8.44,8863,2012
65,2012-08-03 00:00:00,7.7,8.0,6.8,7.25,6259,2012
66,2012-08-06 00:00:00,6.75,7.63,5.5,6.02,6535,2012
67,2012-08-07 00:00:00,6.23,6.94,6.05,6.34,9029,2012
68,2012-08-08 00:00:00,6.15,6.15,5.1,6.02,3174,2012
69,2012-08-09 00:00:00,5.9,6.34,4.72,4.72,1308,2012
70,2012-08-10 00:00:00,4.69,4.69,3.76,3.76,16129,2012
71,2012-08-13 00:00:00,3.74,4.02,3.01,3.07,12263,2012
72,2012-08-14 00:00:00,3.06,3.22,2.5,2.63,16937,2012
73,2012-08-16 00:00:00,2.63,2.68,2.47,2.68,3651,2012
74,2012-08-17 00:00:00,2.52,2.63,2.33,2.46,4770,2012
75,2012-08-20 00:00:00,2.3,2.47,1.98,2.33,11847,2012
76,2012-08-21 00:00:00,2.4,2.88,1.91,1.92,38673,2012
77,2012-08-22 00:00:00,1.92,1.92,1.75,1.75,7125,2012
78,2012-08-23 00:00:00,1.75,1.92,1.6,1.92,13385,2012
79,2012-08-24 00:00:00,1.85,1.92,1.54,1.64,101731,2012
80,2012-08-27 00:00:00,1.64,1.9,1.39,1.46,31442,2012
81,2012-08-28 00:00:00,1.54,1.67,1.25,1.4,152710,2012
82,2012-08-29 00:00:00,1.55,1.68,1.49,1.68,9171,2012
83,2012-08-31 00:00:00,1.68,1.8,1.68,1.8,2515,2012
84,2012-09-03 00:00:00,1.8,2.16,1.72,2.16,9216,2012
85,2012-09-04 00:00:00,2.2,2.6,2.0,2.15,13504,2012
86,2012-09-05 00:00:00,2.0,2.25,1.9,1.9,8651,2012
87,2012-09-06 00:00:00,2.15,2.15,1.75,1.86,4247,2012
88,2012-09-07 00:00:00,1.71,2.0,1.57,2.0,2525,2012
89,2012-09-10 00:00:00,1.84,1.99,1.71,1.86,1607,2012
90,2012-09-11 00:00:00,1.75,1.86,1.6,1.86,5875,2012
91,2012-09-12 00:00:00,1.67,2.0,1.6,1.87,5166,2012
92,2012-09-13 00:00:00,1.6,2.0,1.5,2.0,6709,2012
93,2012-09-14 00:00:00,1.67,1.77,1.62,1.71,5922,2012
94,2012-09-17 00:00:00,1.71,1.71,1.62,1.71,1356,2012
95,2012-09-18 00:00:00,1.5,1.7,1.5,1.52,9445,2012
96,2012-09-19 00:00:00,1.54,1.59,1.51,1.59,5606,2012
97,2012-09-20 00:00:00,1.36,1.51,1.36,1.51,691,2012
98,2012-09-25 00:00:00,1.36,1.36,1.36,1.36,100,2012
99,2012-09-26 00:00:00,1.3,1.57,1.3,1.57,1900,2012
100,2012-09-27 00:00:00,1.49,1.49,1.49,1.49,1,2012
101,2012-09-28 00:00:00,1.41,1.41,1.41,1.41,10,2012
102,2012-10-01 00:00:00,1.26,1.26,1.23,1.23,1338,2012
103,2012-10-02 00:00:00,1.23,1.23,0.99,1.05,4468,2012
104,2012-10-03 00:00:00,0.99,1.02,0.85,0.85,1488,2012
105,2012-10-04 00:00:00,0.85,0.9,0.68,0.9,1950,2012
106,2012-10-05 00:00:00,0.72,1.08,0.72,0.87,489353,2012
107,2012-10-08 00:00:00,1.04,1.24,0.9,1.19,13716,2012
108,2012-10-09 00:00:00,1.4,1.48,1.21,1.48,2833,2012
109,2012-10-10 00:00:00,1.33,1.48,1.2,1.2,2480,2012
110,2012-10-11 00:00:00,1.3,1.3,1.05,1.18,4579,2012
111,2012-10-12 00:00:00,0.98,1.13,0.95,1.08,4653,2012
112,2012-10-15 00:00:00,0.97,1.07,0.92,1.07,3001,2012
113,2012-10-16 00:00:00,0.9,1.03,0.9,1.03,5700,2012
114,2012-10-18 00:00:00,0.99,0.99,0.94,0.95,10175,2012
115,2012-10-19 00:00:00,0.96,0.98,0.91,0.98,3897,2012
116,2012-10-22 00:00:00,0.98,0.98,0.9,0.97,3361,2012
117,2012-10-23 00:00:00,0.9,0.97,0.88,0.97,1061,2012
118,2012-10-24 00:00:00,0.97,0.97,0.97,0.97,5,2012
119,2012-10-25 00:00:00,0.96,0.96,0.96,0.96,5,2012
120,2012-10-26 00:00:00,0.96,0.96,0.86,0.95,56,2012
121,2012-10-29 00:00:00,0.96,0.96,0.96,0.96,5,2012
122,2012-10-30 00:00:00,0.94,0.94,0.86,0.9,498,2012
123,2012-11-02 00:00:00,0.86,0.86,0.72,0.86,4624,2012
124,2012-11-05 00:00:00,0.72,0.72,0.72,0.72,1010,2012
125,2012-11-06 00:00:00,0.73,0.85,0.65,0.85,6163,2012
126,2012-11-07 00:00:00,0.84,0.85,0.84,0.85,1940,2012
127,2012-11-08 00:00:00,0.8,0.8,0.78,0.78,1890,2012
128,2012-11-12 00:00:00,0.81,0.93,0.81,0.93,3745,2012
129,2012-11-13 00:00:00,0.95,0.95,0.85,0.95,1002,2012
130,2012-11-14 00:00:00,0.85,0.85,0.85,0.85,1000,2012
131,2012-11-16 00:00:00,0.82,0.82,0.82,0.82,1055,2012
132,2012-11-20 00:00:00,0.84,0.84,0.84,0.84,50,2012
133,2012-11-23 00:00:00,0.88,0.88,0.88,0.88,1,2012
134,2012-12-03 00:00:00,0.86,0.88,0.86,0.88,1810,2012
135,2012-12-04 00:00:00,0.85,1.1,0.84,1.1,17488,2012
136,2012-12-05 00:00:00,1.1,1.32,1.1,1.32,5221,2012
137,2012-12-06 00:00:00,1.33,1.89,1.33,1.89,7819,2012
138,2012-12-07 00:00:00,1.87,2.7,1.87,2.7,7532,2012
139,2012-12-10 00:00:00,2.9,3.35,2.7,2.7,5375,2012
140,2012-12-11 00:00:00,3.24,3.24,2.65,2.65,741,2012
141,2012-12-12 00:00:00,2.48,2.5,2.48,2.5,581,2012
142,2012-12-13 00:00:00,1.85,2.05,1.51,1.99,3157,2012
143,2012-12-14 00:00:00,1.67,1.7,1.6,1.7,1912,2012
144,2012-12-17 00:00:00,1.5,1.5,1.36,1.5,2411,2012
145,2012-12-18 00:00:00,1.35,1.35,1.3,1.34,1301,2012
146,2012-12-21 00:00:00,1.3,1.34,1.19,1.34,51,2012
147,2013-01-02 00:00:00,1.6,1.6,1.12,1.6,6614,2013
148,2013-01-03 00:00:00,1.75,1.75,1.75,1.75,1,2013
149,2013-01-04 00:00:00,1.54,1.54,1.26,1.5,1595,2013
150,2013-01-14 00:00:00,1.36,1.36,1.36,1.36,197,2013
151,2013-01-21 00:00:00,1.35,1.36,1.19,1.36,3150,2013
152,2013-01-22 00:00:00,1.36,1.36,1.18,1.25,1676,2013
153,2013-02-04 00:00:00,1.17,1.17,1.15,1.15,200,2013
154,2013-02-05 00:00:00,1.18,1.18,1.05,1.18,4766,2013
155,2013-02-06 00:00:00,1.18,1.18,1.0,1.17,184,2013
156,2013-02-07 00:00:00,1.09,1.15,1.09,1.09,2096,2013
157,2013-02-08 00:00:00,1.1,1.1,1.09,1.09,298,2013
158,2013-02-11 00:00:00,1.09,1.09,1.09,1.09,1080,2013
159,2013-02-12 00:00:00,1.1,1.1,1.1,1.1,19,2013
160,2013-02-18 00:00:00,1.07,1.1,0.95,1.05,2401,2013
161,2013-02-19 00:00:00,1.0,1.05,0.88,1.01,4904,2013
162,2013-02-25 00:00:00,0.92,0.94,0.89,0.94,201,2013
163,2013-02-27 00:00:00,0.88,0.94,0.8,0.94,2186,2013
164,2013-03-12 00:00:00,0.82,0.84,0.82,0.84,101,2013
165,2013-03-15 00:00:00,0.88,0.88,0.88,0.88,1,2013
166,2013-03-20 00:00:00,0.9,0.9,0.9,0.9,1,2013
167,2013-03-25 00:00:00,0.86,0.89,0.76,0.85,2576,2013
168,2013-04-03 00:00:00,0.72,0.75,0.68,0.75,223,2013
169,2013-04-04 00:00:00,0.77,0.77,0.77,0.77,1,2013
170,2013-04-05 00:00:00,0.7,0.75,0.63,0.75,2712,2013
171,2013-04-30 00:00:00,0.64,0.67,0.57,0.67,2783,2013
172,2013-05-06 00:00:00,0.6,0.72,0.6,0.67,3488,2013
173,2013-05-07 00:00:00,0.64,0.64,0.6,0.63,301,2013
174,2013-05-08 00:00:00,0.55,0.55,0.49,0.53,6613,2013
175,2013-05-09 00:00:00,0.53,0.53,0.53,0.53,482,2013
176,2013-05-13 00:00:00,0.53,0.53,0.53,0.53,50,2013
177,2013-05-14 00:00:00,0.5,0.53,0.48,0.53,101,2013
178,2013-05-20 00:00:00,0.47,0.5,0.47,0.5,87,2013
179,2013-05-24 00:00:00,0.48,0.53,0.48,0.53,353,2013
180,2013-05-29 00:00:00,0.48,0.53,0.44,0.53,432,2013
181,2013-06-06 00:00:00,0.51,0.59,0.51,0.59,3246,2013
182,2013-06-07 00:00:00,0.62,0.67,0.62,0.67,401,2013
183,2013-06-12 00:00:00,0.63,0.75,0.63,0.75,1300,2013
184,2013-06-13 00:00:00,0.7,0.74,0.7,0.74,350,2013
185,2013-06-14 00:00:00,0.67,0.67,0.67,0.67,200,2013
186,2013-06-18 00:00:00,0.65,0.65,0.53,0.62,4102,2013
187,2013-07-05 00:00:00,0.57,0.59,0.5,0.59,1042,2013
188,2013-07-18 00:00:00,0.51,0.51,0.51,0.51,59,2013
189,2013-07-19 00:00:00,0.51,0.51,0.51,0.51,60,2013
190,2013-08-22 00:00:00,0.52,0.59,0.52,0.59,301,2013
191,2013-09-16 00:00:00,0.55,0.57,0.5,0.57,301,2013
192,2013-09-20 00:00:00,0.52,0.55,0.46,0.55,3762,2013
193,2013-12-09 00:00:00,0.47,0.47,0.47,0.47,75,2013
194,2014-01-17 00:00:00,0.5,0.6,0.5,0.6,6482,2014
195,2014-01-20 00:00:00,0.57,0.67,0.57,0.67,5024,2014
196,2014-01-21 00:00:00,0.69,0.69,0.69,0.69,50,2014
197,2014-01-22 00:00:00,0.65,0.65,0.58,0.58,3024,2014
198,2014-01-23 00:00:00,0.57,0.62,0.55,0.62,700,2014
199,2014-01-27 00:00:00,0.64,0.68,0.62,0.68,5725,2014
200,2014-01-28 00:00:00,0.68,0.68,0.68,0.68,499,2014
201,2014-01-29 00:00:00,0.69,0.98,0.69,0.98,6652,2014
202,2014-01-30 00:00:00,0.81,1.0,0.81,1.0,4203,2014
203,2014-01-31 00:00:00,1.0,1.0,0.85,0.85,279,2014
204,2014-02-03 00:00:00,0.87,0.93,0.83,0.93,1594,2014
205,2014-02-04 00:00:00,0.83,0.93,0.72,0.72,1620,2014
206,2014-02-06 00:00:00,0.8,0.8,0.8,0.8,100,2014
207,2014-02-07 00:00:00,0.82,0.85,0.8,0.85,450,2014
208,2014-02-10 00:00:00,0.77,0.77,0.77,0.77,1,2014
209,2014-02-12 00:00:00,0.77,0.77,0.63,0.63,2652,2014
210,2014-02-13 00:00:00,0.62,0.62,0.52,0.57,4027,2014
211,2014-02-14 00:00:00,0.64,0.75,0.64,0.75,3000,2014
212,2014-02-17 00:00:00,0.65,0.65,0.65,0.65,2300,2014
213,2014-02-20 00:00:00,0.67,0.67,0.67,0.67,3000,2014
214,2014-02-21 00:00:00,0.68,0.8,0.64,0.8,2856,2014
215,2014-02-26 00:00:00,0.8,0.8,0.8,0.8,50,2014
216,2014-02-28 00:00:00,0.8,0.8,0.75,0.75,547,2014
217,2014-03-05 00:00:00,0.75,0.75,0.64,0.65,7867,2014
218,2014-03-06 00:00:00,0.62,0.62,0.62,0.62,574,2014
219,2014-03-07 00:00:00,0.61,0.61,0.6,0.6,3000,2014
220,2014-03-26 00:00:00,0.6,0.6,0.57,0.6,3400,2014
221,2014-04-04 00:00:00,0.6,0.65,0.6,0.65,307,2014
222,2014-04-16 00:00:00,0.59,0.6,0.53,0.6,3501,2014
223,2014-04-17 00:00:00,0.54,0.59,0.54,0.59,500,2014
224,2014-04-24 00:00:00,0.52,0.52,0.49,0.5,1050,2014
225,2014-04-25 00:00:00,0.54,0.62,0.5,0.62,950,2014
226,2014-04-29 00:00:00,0.56,0.56,0.5,0.5,2315,2014
227,2014-04-30 00:00:00,0.49,0.69,0.49,0.59,4105,2014
228,2014-05-02 00:00:00,0.59,0.59,0.5,0.5,4144,2014
229,2014-05-05 00:00:00,0.5,0.57,0.5,0.57,2508,2014
230,2014-05-06 00:00:00,0.57,0.57,0.51,0.51,810,2014
231,2014-05-07 00:00:00,0.49,0.5,0.49,0.49,1932,2014
232,2014-05-08 00:00:00,0.49,0.52,0.49,0.52,150,2014
233,2014-05-09 00:00:00,0.52,0.52,0.49,0.49,214,2014
234,2014-05-12 00:00:00,0.49,0.49,0.49,0.49,100,2014
235,2014-05-13 00:00:00,0.49,0.49,0.47,0.47,1150,2014
236,2014-05-14 00:00:00,0.47,0.47,0.47,0.47,200,2014
237,2014-05-15 00:00:00,0.47,0.47,0.44,0.44,1257,2014
238,2014-05-20 00:00:00,0.48,0.57,0.48,0.57,6055,2014
239,2014-05-21 00:00:00,0.59,0.72,0.57,0.58,27831,2014
240,2014-05-22 00:00:00,0.69,0.74,0.55,0.65,26631,2014
241,2014-05-23 00:00:00,0.64,0.66,0.52,0.52,8408,2014
242,2014-05-26 00:00:00,0.6,0.6,0.48,0.52,4749,2014
